mutation_type,category,count
CHANGE_LOOP_BOUND,assume,9
CHANGE_OPERATOR,loop_reduction,9
CHANGE_OPERATOR,atomic,8
REMOVE_CLAUSE,reduction,8
REMOVE_DEPENDENCY,task,6
CHANGE_ASSIGNMENT,task,6
CHANGE_ASSIGNMENT,error,5
CHANGE_LOOP_BOUND,simd,5
CHANGE_LOOP_BOUND,order,5
CHANGE_LOOP_BOUND,allocate,5
REMOVE_CONSTRUCT,parallel,5
REMOVE_CONSTRUCT,error,5
CHANGE_LOOP_BOUND,taskgraph,4
REMOVE_CONSTRUCT,taskwait,4
REMOVE_DEPENDENCY,ordered,4
ORACLE_MUTATION,env_var,4
CHANGE_RUNTIME_CALL,env_var,4
CHANGE_CLAUSE,taskloop,4
CHANGE_CLAUSE,loop,4
CHANGE_LOOP_BOUND,loop,3
CHANGE_ASSIGNMENT,parallel,3
CHANGE_ASSIGNMENT,loop,3
CHANGE_CLAUSE,default,3
CHANGE_LOOP_BOUND,scope,3
REMOVE_CLAUSE,scope,3
REMOVE_SYNCHRONIZATION,task,3
REMOVE_SYNCHRONIZATION,taskwait,3
CHANGE_MAPPING,declare_mapper,3
REMOVE_SYNCHRONIZATION,atomic,3
REMOVE_CLAUSE,task,3
REMOVE_SYNCHRONIZATION,parallel,2
REMOVE_SYNCHRONIZATION,taskloop,2
CHANGE_LOOP_BOUND,taskloop,2
CHANGE_CONFIGURATION,tile,2
CHANGE_MAPPING,application_kernels,2
CHANGE_LOOP_BOUND,teams,2
CHANGE_LOOP_BOUND,fuse,2
CHANGE_CLAUSE,modifiers,2
CHANGE_CONDITION,assume,2
CHANGE_CONDITION,task,2
CHANGE_CLAUSE,task,2
CHANGE_ASSIGNMENT,fuse,2
CHANGE_CLAUSE,declare_variant,2
REMOVE_CONSTRUCT,scope,2
REMOVE_CLAUSE,default,2
REMOVE_CONSTRUCT,declare_mapper,2
REMOVE_SYNCHRONIZATION,masked,2
REMOVE_CLAUSE,taskloop,2
CHANGE_CONFIGURATION,runtime_calls,2
CHANGE_CONFIGURATION,task,2
CHANGE_LOOP_BOUND,declare_mapper,2
CHANGE_CONFIGURATION,teams,2
CHANGE_ASSIGNMENT,map-type_modifier,1
CHANGE_ASSIGNMENT,assume,1
CHANGE_ASSIGNMENT,declare_variant,1
CHANGE_ASSIGNMENT,modifiers,1
CHANGE_CLAUSE,scope,1
CHANGE_CONFIGURATION,masked,1
CHANGE_CONFIGURATION,allocate,1
CHANGE_CONDITION,taskloop,1
CHANGE_CONDITION,parallel_for,1
CHANGE_CLAUSE,teams,1
CHANGE_ASSIGNMENT,tile,1
CHANGE_CLAUSE,parallel,1
CHANGE_OPERATOR,application_kernels,1
CHANGE_CONSTANT,runtime_calls,1
CHANGE_CONFIGURATION,taskloop,1
CHANGE_CONFIGURATION,parallel,1
CHANGE_LOOP_BOUND,parallel_for,1
CHANGE_MAPPING,map-type_modifier,1
CHANGE_LOOP_BOUND,taskwait,1
CHANGE_LOOP_BOUND,tile,1
CHANGE_MAPPING,declare_variant,1
CHANGE_SCAN,scan,1
CHANGE_OPERATOR,taskloop,1
CHANGE_MAPPING,metadirective,1
REMOVE_CONSTRUCT,declare_variant,1
REMOVE_CLAUSE,declare_variant,1
ORACLE_MUTATION,runtime_calls,1
REMOVE_CLAUSE,parallel_master_taskloop_simd,1
REMOVE_CLAUSE,masked,1
REMOVE_CONSTRUCT,masked,1
REMOVE_CONSTRUCT,default,1
REMOVE_CONSTRUCT,task,1
REMOVE_DEPENDENCY,depend,1
REMOVE_SYNCHRONIZATION,application_kernels,1
REMOVE_STATEMENT,task,1
REMOVE_SYNCHRONIZATION,modifiers,1
REMOVE_SYNCHRONIZATION,parallel_for_simd,1
